服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.91,//shop36823784.taobao.com,母婴,4.89,77,36823784,文火熬小米粥,335,4.92,//rate.taobao.com/user-rate-UMFcWMGcGvCgT.htm,酷卡童装精品店,浙江 杭州,99.19%
4.91,//shop113088047.taobao.com,服饰鞋包,4.88,167,113088047,shenth5188,55,4.89,//rate.taobao.com/user-rate-UMmg4vmcuOFgL.htm,丽兒伊人女装,,98.82%
4.91,//shop107971334.taobao.com,母婴,4.87,208,107971334,伊凡贝比,1093,4.9,//rate.taobao.com/user-rate-UvFgbMFc4vm8YvgTT.htm,伊凡贝比童装dudubaby,,99.14%
4.78,//shop105641408.taobao.com,服饰鞋包,4.74,374,105641408,简爱cy13,111,4.74,//rate.taobao.com/user-rate-UvFcLOmcLMCkuMgTT.htm,简约精品工厂店,,96.60%
4.57,//shop105275453.taobao.com,母婴,4.55,87,105275453,沈婷婷6666,158,4.63,//rate.taobao.com/user-rate-UvFxLMF8WMCgYvNTT.htm,六六潮流童装,江苏 南京,96.71%
4.66,//shop105394880.taobao.com,服饰鞋包,4.56,33,105394880,梦曼性感衣阁,83,4.66,//rate.taobao.com/user-rate-UvFcbvFcLMmkSvgTT.htm,梦曼性感衣阁,广东 广州,97.62%
4.86,//shop59419315.taobao.com,服饰鞋包,4.74,190,59419315,xiaoguangip,44,4.86,//rate.taobao.com/user-rate-UvFkSvmNGMF8y.htm,online尚品,广东 广州,98.78%
4.81,//shop102752035.taobao.com,母婴,4.8,143,102752035,tb_9936913,17,4.79,//rate.taobao.com/user-rate-UOmNLOmNGvCNb.htm,暖心窝童装,广东 东莞,97.39%
4.89,//shop118890385.taobao.com,母婴,4.87,125,118890385,sxf20131992,28,4.89,//rate.taobao.com/user-rate-UvFx4OFxWMCcYMWTT.htm,乐贝精品童装,,98.35%
4.86,//shop439548946.taobao.com,服饰鞋包,4.82,217,439548946,麦子美衣,73,4.82,//rate.taobao.com/user-rate-UvCkGvGgYvFvLvNTT.htm,麦子美衣品质实拍女装,,98.32%
4.45,//shop114264696.taobao.com,服饰鞋包,4.26,4621,114264696,潮雅芳,525,4.46,//rate.taobao.com/user-rate-UvCIuMGkGvFkSMQTT.htm,潮雅芳,,97.73%
4.77,//shop114032838.taobao.com,母婴,4.74,181,114032838,那一刻为你bb,90,4.78,//rate.taobao.com/user-rate-UvFN0MFvyMGIbMWTT.htm,阿Q童装屋,,96.58%
4.96,//shop297050543.taobao.com,服饰鞋包,4.96,43,297050543,欧韩衣橱888,52,4.94,//rate.taobao.com/user-rate-UvCkLvF8yMGQGMQTT.htm,欧韩美style,,100.00%
4.77,//shop155333678.taobao.com,母婴,4.71,232,155333678,商丘德杰商贸有限公司,27,4.78,//rate.taobao.com/user-rate-UvCgLMCxbMCcLvQTT.htm,百佳优品童装馆,,96.10%
